DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#ff7f00

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n940,1
n944,1
n945,1
n946,1
n948,1
n950,1
n952,1
n953,1
n956,1
n957,1
n960,1
n962,1
n964,1
n970,1
n971,1
n972,1
n974,1
n975,1
n976,1
n980,1
n981,1
n982,1
n984,1
n985,1
n988,1
n990,1
n991,1
n994,1
n998,1
n1000,1
n1001,1
n1006,1
n1007,1
n1008,1
n1009,1
n1012,1
n1013,1
n1016,1
n1017,1
n1018,1
n1020,1
n1021,1
n1024,1
n1026,1
n1027,1
n1032,1
n1033,1
n1034,1
n1036,1
n1038,1
n1040,1
n1041,1
n1044,1
n1045,1
n1048,1
n1050,1
n1051,1
n1056,1
n1057,1
n1058,1
n1060,1
n1061,1
n1062,1
n1066,1
n1068,1
n1069,1
n1072,1
n1073,1
n1074,1
n1076,1
n1077,1
n1801,1
n4166,1
n4167,1
n4231,1
n4295,1
n5552,1
n6370,1
n6374,1
n6375,1
n6376,1
n6378,1
n6379,1
n9093,1
n12240,1
n12242,1
n12243,1
n14522,1
n14956,1
n25764,1
n26530,1
n28748,1
